Municipality Code,State,Municipality,Population,Observed Deaths,Deaths Counterfactual,Deaths Averted,Percent of Counterfactual Deaths Averted,"Observed Death Rate, per 100,000","Counterfactual Death Rate, per 100,000","Averted Death Rate, per 100,000"
230630,Ceará,Itapajé,53448,38,64.62841905,26.62841905,41.20233705,71.09714115,120.9183113,49.8211702
230640,Ceará,Itapipoca,131687,169,474.6267602,305.6267602,64.39307385,128.3346116,360.4203606,232.0857489
230655,Ceará,Itarema,42595,7,8.673119739,1.673119739,19.29086406,16.43385374,20.36182589,3.927972153
230670,Ceará,Jaguaretama,18133,9,73.16994311,64.16994311,87.69986744,49.63326532,403.5181333,353.884868
230680,Ceará,Jaguaribara,11580,1,1.634226581,0.634226581,38.80897475,8.635578584,14.11249207,5.476913483
230690,Ceará,Jaguaribe,34592,17,140.9661078,123.9661078,87.94036364,49.14431082,407.5107187,358.3664079
230700,Ceará,Jaguaruana,33960,4,5.371985858,1.371985858,25.53964016,11.77856302,15.81856849,4.04000547
230710,Ceará,Jardim,27187,3,41.05430513,38.05430513,92.69260559,11.0346857,151.0071179,139.9724322
230720,Ceará,Jati,8150,7,111.448388,104.448388,93.71906573,85.88957055,1367.464883,1281.575313
230725,Ceará,Jijoca de Jericoacoara,20351,14,16.68284059,2.682840592,16.08143756,68.79268832,81.97553237,13.18284405
230730,Ceará,Juazeiro do Norte,278264,553,1351.365166,798.3651656,59.07841832,198.7321393,485.6413929,286.9092537
230740,Ceará,Jucás,24949,17,138.0108218,121.0108218,87.68212538,68.13900357,553.1717578,485.0327542
230750,Ceará,Lavras da Mangabeira,31476,23,130.4347868,107.4347868,82.36666723,73.07154658,414.3944172,341.3228706
230760,Ceará,Limoeiro do Norte,60232,133,371.505723,238.505723,64.19974397,220.812857,616.7912786,395.9784217
230763,Ceará,Madalena,20031,0,0,0,NA,0,0,0
230765,Ceará,Maracanaú,230986,306,554.0903225,248.0903225,44.77434679,132.4755613,239.8804787,107.4049174
230770,Ceará,Maranguape,131677,70,156.5918394,86.59183937,55.29779822,53.16038488,118.9211779,65.76079298
230780,Ceará,Marco,27822,11,16.29369006,5.293690057,32.48920311,39.53705701,58.56405024,19.02699323
230800,Ceará,Massapê,39341,2,2.306063352,0.306063352,13.27211379,5.083754861,5.861730388,0.777975527
230810,Ceará,Mauriti,48370,26,152.0209965,126.0209965,82.89709934,53.75232582,314.2877744,260.5354485
230820,Ceará,Meruoca,15309,12,36.71770568,24.71770568,67.31821944,78.38526357,239.8439198,161.4586562
